segment,sample_count,duration_sec,expected_distance_m,expected_yaw_rad,gt_projected_distance_m,gt_path_length_m,gt_yaw_delta_rad,raw_projected_distance_m,raw_yaw_delta_rad,imu_integrated_yaw_rad,ekf_yaw_delta_rad,circle_radius_m,body_distance_error_pct,body_yaw_error_deg,raw_distance_error_pct,raw_yaw_error_deg,imu_yaw_error_deg,gt_closure_m,raw_closure_m,ekf_closure_m,ekf_closure_vector_error_m,four_wheel_rotation_spread_ratio
stationary_20s,1000,19.98,0.0,0.0,0.0,0.0,0.0,4.009042888171266e-18,1.276078216356419e-18,-1.575108080865001e-17,0.0,,,,,,,0.0,4.009042888171266e-18,4.096322887235566e-18,4.096322887235566e-18,0.0
forward_5m_0p20,1250,24.98,5.0,0.0,4.984084611496783,4.984084611496783,-1.044060728147686e-17,4.985999999988416,-1.4232260292275684e-18,2.34482349571087e-19,0.0,,0.31830777006433664,,0.038430095813677595,,,4.984084611496783,4.985999999988416,4.9771999999686365,0.006884611528146678,1.5482022224860899e-13
forward_5m_0p45,556,11.100000000000009,5.0,0.0,4.963715440160648,4.963715440160648,6.208323394879337e-18,4.974749999973234,-1.4560301962297135e-15,6.59103402150235e-18,-2.6645352591003757e-15,,0.7256911967870394,,0.22230444000288876,,,4.963715440160648,4.974749999973234,4.954499999964817,0.009215440195831093,3.56131917654915e-13
reverse_5m_0p20,1250,24.980000000000004,-5.0,0.0,-4.979084596984219,4.979084596984219,-6.4455631693760116e-18,-4.98099999998891,-7.280150981148568e-16,-6.198829193908283e-18,-3.9968028886505635e-15,,0.4183080603156242,,0.03846897893342534,,,4.979084596984219,4.98099999998891,4.972000000006357,0.007084596977861679,9.745890324680678e-14
turn_positive_360_0p25,1257,25.120000000000005,0.0,6.283185307179586,-1.052302582760115e-05,1.3205134274668138,6.25009290864558,1.5986323376182554e-11,6.261249974953709,6.252094155945267,6.247499975015307,0.21127900765125976,,1.89605476996349,,0.6392528112034281,0.11466302403403575,0.09067942622825657,2.418478587782838e-11,5.443978314384553e-05,0.09073005435208906,1.2454987342706502e-10
turn_negative_360_0p25,1257,25.11999999999999,0.0,-6.283185307179586,-0.0009277806217345427,1.3267275479359701,-6.264375130459329,1.6753329211677625e-11,-6.271249974908483,-6.266501275360941,-6.257499974970089,0.21178928788683338,,1.077743737965977,,0.39389957174546447,0.12181912949563184,0.08445964663450178,2.465667802234482e-11,2.371010216161711e-11,0.08445964665293457,1.2241269686615147e-10
turn_positive_360_0p60,524,10.460000000000008,0.0,6.283185307179586,0.0007056403004933835,0.3980453782325281,5.971550049089367,7.58062394705024e-11,6.248999989558067,5.975542675026042,6.215999989617576,0.06665696091640866,,17.85538503603971,,15.896710615012456,0.2287606153459534,0.04586207020557659,7.847429034772415e-11,9.060397707153708e-11,0.045862070224308535,5.846653030852542e-11
circle_r1_left,1571,31.400000000000006,6.283185307179586,6.283185307179586,0.02873636567712081,6.232874238927553,6.275262838096971,-0.015619344589844705,6.266999968506833,6.276558732396802,6.255999968566358,0.9932451276921697,99.54264653559899,0.45392404175673096,154.35393175790645,0.4734275541818934,0.074249274075397,0.07686118033992576,0.016185162103792592,0.025350802920417588,0.0841051485900651,0.7577639727957864
circle_r1_right,1571,31.400000000000006,6.283185307179586,-6.283185307179586,0.01406917197164734,6.251353868649609,-6.281439359980625,-0.011748389967688106,-6.2709999685173665,-6.2820587554164184,-6.2599999685775645,0.9952104144278313,99.77608217355024,0.10003540575318721,183.50448762275312,0.598133071529591,0.03548874432065182,0.01407126414777243,0.012185263315939401,0.021283897342297544,0.03495246982025115,0.7577639727941254
circle_r2_left,2095,41.879999999999995,12.566370614359172,6.283185307179586,2.1453465635294604,2.5324966548894308,1.8519425961485754,-0.023966123544173577,6.270749996767424,1.8512192254895048,6.262499996773637,1.367481184436376,82.92787448845377,253.89150534018597,101.11712130578778,253.17901453663396,0.04144608578834082,2.4252966113451553,0.02487043868935709,0.0384708486868959,2.46276324744791,0.4674329507248831
circle_r2_right,2095,41.88000000000005,12.566370614359172,-6.283185307179586,0.0002390220045694844,0.00023902220929146887,4.04416713450928e-08,-8.944623361139687e-05,-6.270750000118864,-1.5927057906692874e-07,-6.262500000117698,,99.99809792332324,360.0000023171371,137.4217569518352,359.28751170560844,1.144266906566867e-05,0.00023902201161529903,0.024870453837281543,0.038457396348533596,0.03846271378098203,0.4674329510627622
rectangle_10x5,6262,125.21999999999997,30.0,6.283185307179586,9.624557747360811e-05,0.0744419898851796,0.0002913314567318803,-0.08282516677140744,6.286249985498198,0.0005738208728274514,6.27249998555687,,99.99967918140842,359.9833079370899,86156.07545356487,360.1589010703116,0.01618545129939121,0.0001877692085194899,0.089836467814925,0.09253278338984888,0.09255768889284519,0.22666803116009246
figure_eight_r2,4190,83.78000000000003,25.132741228718345,0.0,0.00014081697585894784,0.000964991695159344,-0.0002946288924974283,-0.0001731421540236939,0.00825000302620893,-0.000607169551924642,0.016500003026769683,,99.99943970705553,,222.95545545384047,,,0.00021549907872920034,0.009241249789763562,0.02284749418929775,0.02268700751230146,0.000400540847978534
